action,exp,level,members,cost
Unstrung light ballista,15,47,true,89179
Mithril javelin,120,47,true,1965
Light ballista,300,47,true,505711
Light ballista (full),330,47,true,511182
Topaz bolt tips,3.9,48,true,2241
Topaz bolts,40,48,true,2340
Maple shortbow (stringing),50,50,true,194
Maple shortbow (u),50,50,true,10
Maple shortbow (full),100,50,true,117
Mithril dart,112,52,true,810
Broad arrows,150,52,true,960
Maple stock,32,54,true,10
Mithril crossbow (stringing),32,54,true,511
Mithril bolts,50,54,true,720
Mithril crossbow (u),64,54,true,484
Mithril crossbow (full),128,54,true,665
Broad bolts,30,55,true,590
Maple longbow (stringing),58.3,55,true,189
Maple longbow (u),58.3,55,true,10
Maple longbow (full),116.6,55,true,117
Sapphire bolt tips,4.7,56,true,353
Sapphire bolts,47,56,true,830
Maple shield,116.5,57,true,20
Emerald bolt tips,5.5,58,true,512
Emerald bolts,55,58,true,1150
Mith grapple (unf),11,59,true,634
Adamant arrow,150,60,true,1545
Adamant crossbow (stringing),41,61,true,1470
Mahogany stock,41,61,true,507
Adamant bolts,70,61,true,2020
Adamant crossbow (u),82,61,true,1839
Adamant crossbow (full),164,61,true,2430
Adamant javelin,150,62,true,2760
Ruby bolt tips,6.3,63,true,927
Ruby bolts,63,63,true,2740
Diamond bolt tips,7,65,true,1890
Yew shortbow (stringing),67.5,65,true,351
Yew shortbow (u),67.5,65,true,265
Diamond bolts,70,65,true,3550
Yew shortbow (full),135,65,true,372
Adamant dart,150,67,true,1970
Rune crossbow (stringing),50,69,true,9498
Yew stock,50,69,true,265
Runite bolts,100,69,true,1590
Runite crossbow (u),100,69,true,9358
Rune crossbow (full),200,69,true,9662
Yew longbow (stringing),75,70,true,430
Yew longbow (u),75,70,true,265
Yew longbow (full),150,70,true,372
Dragonstone bolt tips,8.2,71,true,11878
Dragonstone bolts,82,71,true,6920
Incomplete heavy ballista,30,72,true,109767
Unstrung heavy ballista,30,72,true,112657
Yew shield,150,72,true,530
Heavy ballista,660,72,true,548430
Heavy ballista (full),660,72,true,562577
Onyx bolt tips,9.4,73,true,1570041
Onyx bolts,94,73,true,85590
Rune arrow,187.5,75,true,3675
Amethyst broad bolts,106,76,true,2650
Rune javelin,186,77,true,8070
Dragon crossbow (stringing),70,78,true,1361296
Magic stock,70,78,true,1012
Dragon crossbow (u),135,78,true,1576402
Dragon crossbow (full),275,78,true,1577293
Magic shortbow (stringing),83.3,80,true,884
Magic shortbow (u),83.3,80,true,1012
Magic shortbow (full),166.6,80,true,1119
Rune dart,188,81,true,12550
Amethyst arrow,202.5,82,true,3165
Opal dragon bolts,16,84,true,7280
Jade dragon bolts,24,84,true,7020
Pearl dragon bolts,32,84,true,7240
Topaz dragon bolts,40,84,true,8980
Sapphire dragon bolts,47,84,true,7180
Emerald dragon bolts,55,84,true,7500
Ruby dragon bolts,63,84,true,7920
Diamond dragon bolts,70,84,true,8730
Dragonstone dragon bolts,82,84,true,12720
Onyx dragon bolts,94,84,true,91390
Dragon bolts,120,84,true,7240
Amethyst javelin,202.5,84,true,9390
Magic longbow (stringing),91.5,85,true,1125
Magic longbow (u),91.5,85,true,1012
Magic longbow (full),183,85,true,1119
Magic shield,183,87,true,2024
Dragon arrow,225,90,true,10485
Redwood shield,216,92,true,562
Dragon javelin,225,92,true,14265
Dragon dart,250,95,true,25970
